[Blitzen] Log Data
Compile Date:Oct 24 2022 Time:18:58:31

LineNo,Pattern,SPEED,ハンドル,左後モータ,右後モータ,左前モータ,右前モータ,psd,sensor,centor,距離,トータル距離
0190,011,02093,017,0100,0100,0100,0100,00055,00000,00001,04552,00000
0191,011,02639,017,-010,-010,-010,-010,00054,00000,00001,04581,00000
0192,011,02457,015,0100,0100,0100,0100,00054,00000,00001,04608,00000
0193,011,02002,015,0100,0100,0100,0100,00054,00000,00001,04630,00000
0194,011,02730,014,-040,-040,-040,-040,00109,00000,00001,04660,00000
0195,011,02275,013,0100,0100,0100,0100,00100,00000,00001,04685,00000
0196,011,02093,013,0100,0100,0100,0100,00100,00000,00001,04708,00000
0197,011,02457,012,0100,0100,0100,0100,00100,00000,00001,04735,00000
0198,011,02002,011,0100,0100,0100,0100,00076,00000,00001,04757,00000
0199,011,02730,011,-040,-040,-040,-040,00075,00000,00001,04787,00000
0200,011,02639,010,-010,-010,-010,-010,00076,00000,00001,04816,00000
0201,011,02093,009,0100,0100,0100,0100,00075,00000,00001,04839,00000
0202,011,02548,009,0100,0100,0100,0100,00083,00000,00001,04867,00000
0203,011,02002,004,0100,0100,0100,0100,00089,00000,00001,04889,00000
0204,011,02366,009,0100,0100,0100,0100,00088,00000,00001,04915,00000
0205,011,02639,009,-010,-010,-010,-010,00083,00000,00001,04944,00000
0206,011,02093,009,0100,0100,0100,0100,00084,00000,00001,04967,00000
0207,051,02639,009,-010,-010,-100,-100,00082,00001,00001,04996,00000
0208,051,02457,008,-100,-100,-100,-100,00083,00000,00001,05023,00000
0209,051,02093,007,-100,-100,-100,-100,00084,00000,00001,05046,00000
0210,052,02548,007,-100,-100,-100,-100,00084,00000,00001,05074,00000
0211,052,01729,006,-010,-010,-010,-010,00083,00000,00001,05093,00000
0212,052,02275,004,-100,-100,-100,-100,00083,00000,00001,05118,00000
0213,052,02184,002,-100,-100,-100,-100,00083,00000,00001,05142,00000
0214,052,01729,002,-010,-010,-010,-010,00064,00000,00001,05161,00000
0215,052,01547,002,0050,0050,0050,0050,00063,00000,00001,05178,00000
0216,052,02002,000,-100,-100,-100,-100,00063,00000,00001,05200,00000
0217,052,01638,-01,0050,0050,0050,0050,00063,00000,00001,05218,00000
0218,052,01092,-01,0050,0050,0050,0050,00130,00000,00001,05230,00000
0219,052,01638,000,0050,0050,0050,0050,00134,00000,00001,05248,00000
